"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:18:15.4137080","Explorer.EXE","6308","CreateFile","C:\Windows\System32\imageres.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"21:18:15.4137126","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\FolderDescriptions","SUCCESS",""
"21:18:15.4137251","Explorer.EXE","6308","RegOpenKey","HKCR\.pml\OpenWithProgids","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4137255","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: Name"
"21:18:15.4137365","Procmon64.exe","10216","CreateFile","C:\Windows\System32\DataExchange.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"21:18:15.4137529","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4137544","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4137575","Explorer.EXE","6308","CreateFile","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"21:18:15.4137710","Explorer.EXE","6308","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4137763","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\WCOSEnumerationBaselineAllowedlist","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4137840","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Classes\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","NAME NOT FOUND","Desired Access: Maximum Allowed"
"21:18:15.4138005","Explorer.EXE","6308","QueryBasicInformationFile","C:\Windows\System32\imageres.dll","SUCCESS","CreationTime: 2026/2/15 14:39:39, LastAccessTime: 2026/2/15 14:39:39, LastWriteTime: 2026/2/15 14:39:39, ChangeTime: 2026/7/16 17:22:01, FileAttributes: A"
"21:18:15.4138036","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4138112","Explorer.EXE","6308","QueryOpen","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2026.11020.20001.0_x64__8wekyb3d8bbwe\resources.pri","FAST IO DISALLOWED",""
"21:18:15.4138118","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\FileExts\.pml\OpenWithProgids","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4138201","Explorer.EXE","6308","CloseFile","C:\Windows\System32\imageres.dll","SUCCESS",""
"21:18:15.4138226","Explorer.EXE","6308","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Explorer\AllowedEnumeration","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4138252","Procmon64.exe","10216","QueryBasicInformationFile","C:\Windows\System32\DataExchange.dll","SUCCESS","CreationTime: 2026/7/15 10:40:42, LastAccessTime: 2026/7/15 10:40:42, LastWriteTime: 2026/7/15 10:40:42, ChangeTime: 2026/7/16 23:33:39, FileAttributes: A"
"21:18:15.4138449","Explorer.EXE","6308","QueryStatInformation","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS",""
"21:18:15.4138452","Procmon64.exe","10216","CloseFile","C:\Windows\System32\DataExchange.dll","SUCCESS",""
"21:18:15.4138618","Explorer.EXE","6308","RegQueryValue","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties\System.ItemPathDisplay","NAME NOT FOUND","Length: 16"
"21:18:15.4138692","Procmon64.exe","10216","IRP_MJ_CLOSE","C:\Windows\System32\DataExchange.dll","SUCCESS",""
"21:18:15.4138715","Explorer.EXE","6308","CloseFile","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS",""
"21:18:15.4138757","Explorer.EXE","6308","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4138829","Explorer.EXE","6308","IRP_MJ_CLOSE","C:\Windows\System32\imageres.dll","SUCCESS",""
"21:18:15.4138979","Explorer.EXE","6308","IRP_MJ_CLOSE","C:\Windows\apppatch\MergeSdbFilesSource\sysMerge.sdb","SUCCESS",""
"21:18:15.4139244","Explorer.EXE","6308","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\SdbUpdates","SUCCESS",""
"21:18:15.4139278","Explorer.EXE","6308","RegQueryKey","HKCU","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:18:15.4139526","Explorer.EXE","6308","RegQueryKey","HKCR\CLSID\{00021401-0000-0000-C000-000000000046}\OverrideFileSystemProperties","SUCCESS","Query: Name"
"21:18:15.4139798","Explorer.EXE","6308","CreateFile","C:\Users\rabBIThole\Desktop","IS DIRECTORY","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a"
"21:18:15.4139875","Explorer.EXE","6308","CreateFile","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2026.11020.20001.0_x64__8wekyb3d8bbwe\resources.pri","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"21:18:15.4139969","Explorer.EXE","6308","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\AllowedEnumeration","NAME NOT FOUND","Desired Access: Read"
"21:18:15.4140162","Explorer.EXE","6308","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\AppModel\StateRepository\Cache","SUCCESS","Desired Access: Read"
"21:18:15.4140587","Explorer.EXE","6308","QueryNetworkOpenInformationFile","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2026.11020.20001.0_x64__8wekyb3d8bbwe\resources.pri","SUCCESS","CreationTime: 2025/10/26 21:13:10, LastAccessTime: 2025/10/26 21:13:31, LastWriteTime: 2025/10/26 21:13:31, ChangeTime: 2026/5/14 22:47:58, AllocationSize: 1601/1/1 8:00:01, EndOfFile: 1601/1/1 8:00:01, FileAttributes: A"
